문서 번호,답변 ID,답변,답변 날짜
477550877,4775508771,씨티코아에는 지하주차장만 있는건 아니니까그 주변 지상에 있는 주차장을 이용하면 될것 같습니다...,2024.11.06.
477550877,4775508772,V 차량이고 초보 운전 이면 지하 주차장 들어 가지 마세요....짧은 시간이면 근처 공영 주차장에 주차 하는것이 좋습니다,2024.11.06.
477442979,4774429791, 강동구청에 민원2. 다산콜센터에 민원3. 버스회사에 직접 민원가능합니다.,2024.11.03.
477442979,4774429792,번호 하차시간 만 알고있으면 바로 신고 가능둘다 신고 가능전화02)120홈피https://smartreport.seoul.go.kr/w100/w150.do서울스마트 불편신고불법주정차  보도블록파손  무단쓰레기투기 등 불편사항이나 안전사고 위험요인 등을 스마트폰으로 신고하는 대시민 서비스입니다. 시민들이 생활중에 느끼는 각종 불편사항을 스마트폰으로 언제  어디서나 신고할 수 있습니다. 신고된 불편사항은 서울시 '120다산콜재단'에서 접수하고 해당부서에서 신속하게 처리하고 처리과정과 처리결과도 앱으로 확인할 수 있습니다. 처리절차 서울 스마트 불편신고 시민들이 생활중에 느끼는 각종 불편사항을 스마트폰으로 언제  어디서나 신고할 수 있습니다. 구글플레이 애플앱스토어smartreport.seoul.go.kr,2024.11.03.
477354647,4773546471,"구돌잔치 장소 찾으시나요?강동구면 하남쪽이 가까워서 강동에서 돌잔치 알아보는 분들은 대부분 하남지역으로 돌잔치 많이 알아보더라구요. 저는 개인적으로 하남시청 앞에 있는 ""플로랜스하남점"" 추천드려봅니다.여기가 단독홀이고 50~60명 인원이 돌잔치하기에 음식도 무제한 리필 뷔페식인데 뷔페음식도 잘나오거든요.스테이크 음식평도 워낙 좋은곳이라 많은 손님분들 모시고 하기에 추천하고 갑니다.초대할 손님이 많으면 주차장도 무시 못하니 주차도 무료에요마침 얼리버드이벤트로 2025년 돌잔치 예약하면 할인도 해준다고 하니 상담 추천합니다 ㅎ돌상도 블로그 들어가보니 최근에 바껴서 화사하고 장소가 너무 이뻐서 인기가 여전히 많은 장소네요플로렌스파티하우스 하남점경기도 하남시 하남대로 747 홈플러스 지하2층 플로렌스 하남점",2024.11.01.
477129714,4771297141, 관광고 외식조리과는 대학 진학으로 인정받고 분위기 좋아요.제 답변이 도움되셨으면 좋겠어요-서울 강동구 거주하는 중3입니다.진로를 조리쪽으로 결정하게되어 특성화고 외식조리과를 진학하고싶은데 성적이 좋은편은 아니라서 특별전형으로 들어갈수있는 곳을 찾고있습니다. 서울 관악구에 위치한 서울 관광고등학교 외식조리과 지원하고싶은데 학교 분위기가 어떤가요? 다른 특성화고보다 대학 진학하시는분도 많고 4년제 이름있는학교도 많이 보낸것 같던데 동네에서 인식이나 재학생분이 생각하시기에 분위기 어떤지 좀 알려주세요서울에 있는 특성화고중에 외식조리과 유명하고 시설좋은곳 이 다른곳이 있다면 알려주세요ㅜㅜ,2024.10.27.
477065445,4770654451,시간은 1시부터 2시까지 입니다.제가 드린 답변이 도움되셨길 바래요-아버지가 임플란트를 하셔야 할 것 같아 치과 검진을 받으러 가려고 합니다.12시쯤에 방문할 예정인데 혹시 강동구 임플란트 명일 제일 치과 점심시간 있나요?있다면 몇 시부터 몇 시까지인지 알려주세요.,2024.10.25.
477058052,4770580521,여자고등학교 매점 있습니다매점 운영시간은 13시-18시 까지 입니,2024.10.25.
476778750,4767787501,아 팩토리 아울렛 천호점은 올해 2024년 3월 22일에 오픈하였습니다...,2024.10.19.
476783039,4767830391,구청에 잔디광장을 열린뜰광장 이라고 하는데요강동구청 정문 바로 앞에 있습니다...강동구청서울특별시 강동구 성내로 25 강동구청열린뜰광장서울특별시 강동구 성내로 25 강동구청,2024.10.18.
