지명,지역 코드
서울특별시 강남구,120115
서울특별시 강동구,120116
서울특별시 강북구,120117
서울특별시 강서구,120118
서울특별시 관악구,120119
서울특별시 광진구,120120
서울특별시 구로구,120121
서울특별시 금천구,120122
서울특별시 노원구,120123
서울특별시 도봉구,120124
서울특별시 동대문구,120125
서울특별시 동작구,120126
서울특별시 마포구,120127
서울특별시 서대문구,120128
서울특별시 서초구,120129
서울특별시 성동구,120130
서울특별시 성북구,120131
서울특별시 송파구,120132
서울특별시 양천구,120133
서울특별시 영등포구,120134
서울특별시 용산구,120135
서울특별시 은평구,120136
서울특별시 종로구,120137
서울특별시 중구,120138
서울특별시 중랑구,120139
부산광역시 강서구,120203
부산광역시 금정구,120204
부산광역시 남구,120205
부산광역시 동구,120206
부산광역시 동래구,120207
부산광역시 부산진구,120208
부산광역시 북구,120209
부산광역시 사상구,120210
부산광역시 사하구,120211
부산광역시 서구,120212
부산광역시 수영구,120213
부산광역시 연제구,120214
부산광역시 영도구,120215
부산광역시 중구,120216
부산광역시 해운대구,120217
부산광역시 기장군,120218
대구광역시 남구,120306
대구광역시 달서구,120307
대구광역시 동구,120308
대구광역시 북구,120309
대구광역시 서구,120310
대구광역시 수성구,120311
대구광역시 중구,120312
대구광역시 달성군,120313
인천광역시 계양구,120404
인천광역시 남구,120405
인천광역시 남동구,120406
인천광역시 동구,120407
인천광역시 부평구,120408
인천광역시 서구,120409
인천광역시 연수구,120410
인천광역시 중구,120411
인천광역시 강화군,120412
인천광역시 옹진군,120413
광주광역시 @ 충장로,12050623
광주광역시 광산구,120504
광주광역시 남구,120505
광주광역시 동구,120506
광주광역시 북구,120507
광주광역시 서구,120508
대전광역시 대덕구,120603
대전광역시 동구,120604
대전광역시 서구,120605
대전광역시 유성구,120606
대전광역시 중구,120607
울산광역시 남구,120701
울산광역시 동구,120702
울산광역시 북구,120703
울산광역시 중구,120704
울산광역시 울주군,120705
강원도 강릉시,120802
강원도 동해시,120803
강원도 삼척시,120804
강원도 속초시,120805
강원도 원주시,120806
강원도 춘천시,120807
강원도 태백시,120808
강원도 고성군,120809
강원도 양구군,120810
강원도 양양군,120811
강원도 영월군,120812
강원도 인제군,120813
강원도 정선군,120814
강원도 철원군,120815
강원도 평창군,120816
강원도 홍천군,120817
강원도 화천군,120818
강원도 횡성군,120819
경기도 고양시,120905
경기도 과천시,120906
경기도 광명시,120907
경기도 광주시,120908
경기도 구리시,120909
경기도 군포시,120910
경기도 김포시,120911
경기도 남양주시,120912
경기도 동두천시,120913
경기도 부천시,120914
경기도 성남시,120915
경기도 수원시,120916
경기도 시흥시,120917
경기도 안산시,120918
경기도 안성시,120919
경기도 안양시,120920
경기도 양주시,120921
경기도 오산시,120922
경기도 용인시,120923
경기도 의왕시,120924
경기도 의정부시,120925
경기도 이천시,120926
경기도 파주시,120927
경기도 평택시,120928
경기도 포천시,120929
경기도 하남시,120930
경기도 화성시,120931
경기도 가평군,120932
경기도 양평군,120933
경기도 여주시,120934
경기도 연천군,120935
경기도 경기도청,120936
경상남도 거제시,121001
경상남도 김해시,121002
경상남도 마산시,121003
경상남도 밀양시,121004
경상남도 사천시,121005
경상남도 양산시,121006
경상남도 진주시,121007
경상남도 진해시,121008
경상남도 창원시,121009
경상남도 통영시,121010
경상남도 거창군,121011
경상남도 고성군,121012
경상남도 남해군,121013
경상남도 산청군,121014
경상남도 의령군,121015
경상남도 창녕군,121016
경상남도 하동군,121017
경상남도 함안군,121018
경상남도 함양군,121019
경상남도 합천군,121020
경상북도 경산시,121101
경상북도 경주시,121102
경상북도 구미시,121103
경상북도 김천시,121104
경상북도 문경시,121105
경상북도 상주시,121106
경상북도 안동시,121107
경상북도 영주시,121108
경상북도 영천시,121109
경상북도 포항시,121110
경상북도 고령군,121111
경상북도 군위군,121112
경상북도 봉화군,121113
경상북도 성주군,121114
경상북도 영덕군,121115
경상북도 영양군,121116
경상북도 예천군,121117
경상북도 울릉군,121118
경상북도 울진군,121119
경상북도 의성군,121120
경상북도 청도군,121121
경상북도 청송군,121122
경상북도 칠곡군,121123
전라남도 광양시,121201
전라남도 나주시,121202
전라남도 목포시,121203
전라남도 순천시,121204
